topic_id,topic_label,n_speeches,Government_count,Government_terms,Opposition_count,Opposition_terms,Other_count,Other_terms
0,"government, budget, people, general, transferred",417,36,"national, assembly, national assembly, bulgarian, saeima, thank, colleagues, parliamentary, bulgarian society, good, political, seventh, seventh national, society, work",153,"bih, procedure, house, law, government, rules, accordance, accordance article, article, council, rules procedure, following, giving, people, procedure accordance",228,"central, central management, management, budget, account, 2015, president, 2013, management budget, final, final account, budget 2015, national, court, general"
1,"don, eyes, close, believe, know",47,0,,2,,45,don
2,", , , , ",45,0,,0,,45,sustained
3,"services, 000, public, security, order",35,0,,0,,35,"000, services, public, security, 03, 01, 01 general, 03 public, general, general public, order, order security, public order, public service, security services"
4,"favor, agreed, , , ",29,0,,1,,28,favor
5,"00, 49, budget, 88, 000",21,0,,0,,21,"budget, expenses, budget expenses, total, 00, allowance, total allowance, 000, 000 00, 49, payment, total payment, 44, 518, 728"
6,"don accepted, accepted, favor, don, opinions",15,0,,0,,15,"accepted, favor, don, don accepted, favor don"
7,"accept, ruler, accepted, economy, understand",14,1,,1,,12,"accept, accept ruler, ruler, accepted, ruler accepted"
8,"000, general, 108, 108 220, real",13,0,,1,,12,"000, toplam, general, general toplam, 833, 833 000, toplam 833"
9,"61, year, 18, transferred, 14",12,0,,0,,12,"fund, canceled, canceled fund, 18, 227, 61, cancelled, fund transferred, transferred, transferred year, year"
